clusID,sersicn,ID
2199507,1.041,2281699
2199507,1.073,2281702
2199507,0.917,2281704
2199507,0.9,2281705
2199507,0.614,2281706
2199507,1.132,2281709
2199507,0.668,2281722
2199507,0.996,2281732
2227715,1.013,2311255
2227715,1.257,2311257
2227715,1.257,2311258
2227715,-9.0,2311260
2227715,0.341,2311264
2227715,1.461,2311266
2227715,-9.0,2311267
2227715,1.144,2311268
2227715,-9.0,2311271
2227715,1.567,2311272
2227715,1.881,2311276
2227715,1.666,2311278
2227715,0.549,2311280
2227715,1.055,2311281
2227715,1.554,2311286
2227715,1.417,2311288
2227715,1.365,2311289
2227715,1.251,2311291
2227715,0.731,2311297
2227715,0.694,2311298
2227715,1.021,2311302
2227715,1.52,2311308
2227715,1.142,2311309
2227715,1.874,2311323
2227715,1.127,2311329
2227715,0.773,2311338
2227715,1.23,2311345
2246014,0.746,2330527
2246014,0.748,2330530
2246014,1.059,2330531
2246014,0.687,2330533
2246014,0.655,2330535
2246014,0.422,2330537
2246014,0.652,2330538
2246014,1.048,2330539
2246014,1.148,2330540
2246014,0.845,2330542
2246014,0.714,2330545
2246014,1.265,2330547
2246014,0.926,2330548
2246014,0.92,2330551
2246014,1.076,2330552
2246014,0.419,2330553
2246014,1.183,2330557
2246014,0.517,2330558
2246014,-9.0,2330565
2246014,0.974,2330568
2246014,1.042,2330569
2246014,0.791,2330571
2246014,0.529,2330572
2246014,1.015,2330577
2246014,1.019,2330582
2246014,0.941,2330584
2246014,0.879,2330586
2246014,59.62,2330589
2246014,0.933,2330592
2246014,1.008,2330603
2246014,-9.0,2330606
2246014,0.756,2330610
2246014,0.825,2330611
2290169,-9.0,2376897
2290169,0.968,2376900
2290169,1.267,2376902
2290169,-9.0,2376904
2290169,1.302,2376907
2290169,0.642,2376914
2290169,-9.0,2376916
2290169,2.125,2376918
2290169,1.548,2376919
2290169,1.237,2376924
2290169,0.877,2376925
2290169,1.093,2376928
2290169,1.393,2376930
2290169,0.69,2376938
2290169,1.396,2376941
2290169,0.543,2376943
2290169,0.885,2376945
2290169,-9.0,2376948
2290169,1.019,2376949
2290169,1.928,2376954
2290169,0.834,2376959
2290169,0.852,2376960
2290169,0.995,2376964
2290169,1.528,2376968
2290169,1.283,2376973
2290169,1.067,2376974
2290169,0.692,2376978
2290169,0.92,2376981
2290169,1.192,2376985
2290169,2.406,2376986
2290169,0.897,2376992
2290169,1.017,2376994
2290169,1.027,2376995
2290169,1.235,2377002
2290169,0.859,2377006
2290169,0.634,2377014
2290206,0.794,2377107
2290206,2.787,2377108
2290206,-9.0,2377110
2290206,1.327,2377112
2290206,0.55,2377114
2290206,0.743,2377115
2290206,0.28,2377117
2290206,0.804,2377118
2290206,1.065,2377119
2290206,0.494,2377120
2290206,0.521,2377121
2290206,0.819,2377122
2290206,0.955,2377123
2290206,0.508,2377126
2290206,1.028,2377127
2290206,1.116,2377128
2290206,0.763,2377129
2290206,2.115,2377130
2290206,0.655,2377131
2290206,0.928,2377133
2290206,0.464,2377134
2290206,0.802,2377136
2290206,0.906,2377141
2290206,0.965,2377143
2290206,1.131,2377144
2290206,1.45,2377146
2290206,1.381,2377147
2290206,0.621,2377148
2290206,0.828,2377150
2290206,1.235,2377154
2290206,0.994,2377162
2290206,0.636,2377163
2290206,0.981,2377166
2290206,1.169,2377167
2290206,1.106,2377172
2290206,1.229,2377174
2290206,0.77,2377181
2290206,0.905,2377207
2507502,1.159,2603854
2507502,0.48,2603855
2507502,2.441,2603856
2507502,1.305,2603858
2507502,1.399,2603863
2507502,0.582,2603868
2507502,0.447,2603871
2507502,-9.0,2603874
2507502,1.036,2603878
2507502,-9.0,2603879
2507502,0.973,2603880
2507502,0.925,2603881
2507502,1.274,2603884
2507502,1.373,2603886
2507502,1.352,2603887
2507502,1.613,2603888
2507502,0.811,2603892
2507502,1.44,2603900
2507502,1.264,2603901
2507502,-9.0,2603903
2507502,0.904,2603906
2507502,0.886,2603910
2507502,0.65,2603911
2507502,-9.0,2603918
2507502,0.833,2603922
2507502,0.584,2603928
2507502,0.817,2603948
2507502,-9.0,2603949
2507502,1.44,2603961
2507502,0.865,2603966
2507502,1.473,2603970
2507502,1.321,2603985
2592446,2.545,2692597
2592446,1.048,2692599
2592446,1.508,2692604
2592446,0.965,2692608
2592446,0.226,2692609
